,Epoch,Generator Loss,Discriminator Loss
0,1,-0.6959,-0.073
1,2,-1.2327,0.0957
2,3,-1.5945,-0.0489
3,4,-1.8077,0.0087
4,5,-1.7809,-0.0052
5,6,-1.9142,-0.0787
6,7,-2.0281,0.0103
7,8,-1.868,0.1032
8,9,-1.9301,-0.0098
9,10,-1.9068,0.027
10,11,-2.1732,0.0133
11,12,-2.0112,0.0126
12,13,-2.1984,-0.0657
13,14,-2.168,0.0006
14,15,-2.2163,0.0112
15,16,-2.109,0.21
16,17,-2.2553,-0.0236
17,18,-2.0772,-0.0701
18,19,-2.0965,0.0038
19,20,-2.1303,0.0635
20,21,-2.2013,-0.037
21,22,-2.1656,-0.0643
22,23,-2.0919,-0.0826
23,24,-2.3308,0.0101
24,25,-2.4434,-0.0514
25,26,-2.5588,-0.0672
26,27,-2.2928,0.2159
27,28,-2.3862,-0.1267
28,29,-2.2567,-0.1032
29,30,-2.3131,-0.0928
30,31,-2.5173,-0.0186
31,32,-2.3914,0.0122
32,33,-2.349,-0.1166
33,34,-2.4126,-0.0055
34,35,-2.1372,-0.1088
35,36,-2.2264,0.1333
36,37,-2.1169,-0.1005
37,38,-2.3161,-0.0829
38,39,-2.1225,-0.0491
39,40,-2.2516,-0.1592
40,41,-2.0846,-0.0008
41,42,-2.2622,-0.1334
42,43,-2.3738,-0.0641
43,44,-2.3456,-0.0853
44,45,-2.3066,0.1582
45,46,-2.1731,-0.0789
46,47,-2.4546,0.0177
47,48,-2.5402,0.0427
48,49,-2.047,0.0383
49,50,-2.0996,0.0446
50,51,-2.217,-0.0579
51,52,-2.2514,0.0714
52,53,-2.3066,-0.1338
53,54,-2.3286,0.1211
54,55,-2.2843,-0.0918
55,56,-1.9325,-0.0562
56,57,-2.3637,-0.0216
57,58,-2.2175,0.1892
58,59,-2.0067,-0.0147
59,60,-2.4255,-0.0656
60,61,-2.251,-0.2615
61,62,-2.6696,0.028
62,63,-2.293,0.0117
63,64,-2.3043,0.1543
64,65,-2.186,0.1122
65,66,-2.4192,-0.0459
66,67,-2.0903,-0.0866
67,68,-1.9286,-0.243
68,69,-2.3247,-0.1085
69,70,-2.3695,-0.1389
70,71,-2.5469,-0.0091
71,72,-1.9503,-0.124
72,73,-2.2358,0.0282
73,74,-2.1958,0.039
74,75,-2.231,0.1383
75,76,-2.4576,0.087
76,77,-2.4537,-0.2295
77,78,-2.4901,0.0343
78,79,-2.0951,-0.1314
79,80,-2.3844,-0.1148
80,81,-2.1826,-0.1364
81,82,-2.3135,0.0473
82,83,-2.1199,0.0157
83,84,-2.284,-0.1168
84,85,-2.6174,-0.056
85,86,-2.5637,0.0892
86,87,-2.5679,-0.1151
87,88,-2.4056,0.0571
88,89,-2.3777,-0.0115
89,90,-2.3536,-0.008
90,91,-2.4925,-0.1512
91,92,-2.6958,0.1569
92,93,-2.4201,-0.0212
93,94,-2.4591,-0.0154
94,95,-2.5632,-0.1811
95,96,-2.7591,-0.2062
96,97,-2.1915,-0.0551
97,98,-2.6195,0.0174
98,99,-2.4422,-0.0832
99,100,-2.412,-0.0257
100,101,-2.1897,0.0307
101,102,-2.7361,-0.009
102,103,-2.5573,-0.1385
103,104,-2.174,0.0116
104,105,-2.6498,-0.0447
105,106,-2.2645,0.0812
106,107,-2.6777,-0.0792
107,108,-2.3181,0.0384
108,109,-2.5029,-0.0109
109,110,-2.5812,-0.0402
110,111,-2.5141,-0.0456
111,112,-2.4732,0.0284
112,113,-2.5368,-0.0519
113,114,-2.2126,0.0431
114,115,-2.5527,-0.0425
115,116,-2.5859,0.0387
116,117,-2.4013,-0.0951
117,118,-2.6015,0.1137
118,119,-2.4524,-0.03
119,120,-2.5046,0.0617
120,121,-2.4185,-0.013
121,122,-2.1054,-0.0104
122,123,-2.652,-0.0434
123,124,-2.4114,0.0806
124,125,-2.5907,-0.0272
125,126,-2.3821,-0.1066
126,127,-2.1908,-0.133
127,128,-2.3659,-0.0182
128,129,-2.4051,-0.1247
129,130,-2.4821,-0.0986
130,131,-2.433,-0.0201
131,132,-2.443,0.1409
132,133,-2.3759,-0.0418
133,134,-2.0314,0.0771
134,135,-2.4048,-0.0295
135,136,-2.3896,-0.1465
136,137,-2.1009,-0.0981
137,138,-2.4714,-0.0598
138,139,-2.3563,0.0135
139,140,-2.3647,-0.0606
140,141,-2.24,-0.0672
141,142,-2.4355,-0.0647
142,143,-2.4906,-0.05
143,144,-2.4927,0.005
144,145,-2.2181,-0.0047
145,146,-1.9934,-0.0374
146,147,-2.6074,-0.074
147,148,-2.2499,0.0409
148,149,-2.03,-0.1646
149,150,-2.206,0.0767
150,151,-2.2493,-0.0646
151,152,-2.322,-0.1693
152,153,-2.5639,-0.157
153,154,-2.4832,0.0118
154,155,-2.0841,0.3229
155,156,-2.3747,0.046
156,157,-2.5291,0.0864
157,158,-2.4521,0.0251
158,159,-2.4661,0.0222
159,160,-2.3377,-0.0544
160,161,-2.3365,-0.2179
161,162,-2.2907,-0.0391
162,163,-2.4036,-0.2184
163,164,-2.1876,-0.0438
164,165,-2.3097,0.1274
165,166,-2.1044,-0.0105
166,167,-2.2162,0.1228
167,168,-2.1658,-0.0235
168,169,-2.2136,0.109
169,170,-2.1487,-0.0141
170,171,-2.3075,-0.0638
171,172,-2.1867,0.0481
172,173,-1.981,0.1787
173,174,-2.0689,0.0581
174,175,-2.2383,0.2274
175,176,-2.3327,0.1623
176,177,-2.172,-0.2548
177,178,-2.361,0.0528
178,179,-2.1198,0.1339
179,180,-2.3177,0.0528
180,181,-2.1727,0.0169
181,182,-2.4545,-0.0982
182,183,-2.6237,-0.0595
183,184,-2.2097,0.122
184,185,-2.1402,0.114
185,186,-2.2713,0.1563
186,187,-2.3222,0.0131
187,188,-2.0381,0.1247
188,189,-2.1029,-0.0097
189,190,-2.1747,0.1816
190,191,-2.1105,-0.1525
191,192,-2.3441,0.031
192,193,-2.0987,0.0825
193,194,-2.1976,-0.0137
194,195,-2.408,-0.0908
195,196,-2.3441,-0.063
196,197,-2.5023,-0.1375
197,198,-2.2346,-0.0699
198,199,-2.3452,0.007
199,200,-2.4148,-0.1007
200,201,-2.306,-0.1166
201,202,-2.1641,-0.0346
202,203,-2.2232,0.1137
203,204,-2.2308,0.1059
204,205,-2.436,0.0768
205,206,-2.3596,-0.1164
206,207,-2.0951,-0.0172
207,208,-2.2036,0.0206
208,209,-2.3146,-0.0632
209,210,-2.2742,0.0371
210,211,-2.2799,0.2235
211,212,-1.7679,-0.0715
212,213,-2.2413,0.0611
213,214,-2.2118,-0.1027
214,215,-2.4385,-0.1286
215,216,-1.9772,-0.008
216,217,-2.1256,-0.1288
217,218,-2.4464,-0.1397
218,219,-2.3559,-0.1695
219,220,-2.4036,-0.1569
220,221,-2.1511,0.0881
221,222,-2.1401,0.0416
222,223,-2.5036,-0.0347
223,224,-2.216,-0.1096
224,225,-2.2876,-0.2113
225,226,-1.8128,0.214
226,227,-1.8899,0.1399
227,228,-1.9226,-0.1169
228,229,-2.1006,0.0845
229,230,-2.0087,-0.1243
230,231,-2.2611,0.098
231,232,-2.2394,-0.0761
232,233,-2.2424,-0.0978
233,234,-2.001,-0.0643
234,235,-2.0261,-0.0126
235,236,-2.0451,0.006
236,237,-2.162,-0.2104
237,238,-1.9978,0.0125
238,239,-1.9033,-0.1265
239,240,-2.0005,0.0148
240,241,-1.8975,-0.0196
241,242,-2.0642,-0.1174
242,243,-1.7027,-0.0425
243,244,-1.9151,0.176
244,245,-1.9924,0.2311
245,246,-2.2946,0.0626
246,247,-2.3234,-0.02
247,248,-2.1574,0.1417
248,249,-2.2344,-0.0968
249,250,-2.6001,0.0992
