,Epoch,Generator Loss,Discriminator Loss
0,1,-1.3476,0.3407
1,2,-1.7088,-0.1252
2,3,-1.5606,-0.1115
3,4,-1.8767,-0.316
4,5,-1.9195,-0.3022
5,6,-1.8498,-0.0903
6,7,-1.6075,-0.0806
7,8,-1.866,-0.1303
8,9,-1.9279,-0.3277
9,10,-1.9398,-0.3556
10,11,-2.0289,0.1213
11,12,-1.6386,-0.0846
12,13,-2.3853,-0.0552
13,14,-1.9219,-0.0564
14,15,-2.0287,-0.2461
15,16,-2.2002,0.3747
16,17,-2.2539,-0.003
17,18,-2.1509,-0.0086
18,19,-2.0699,-0.1645
19,20,-2.6255,0.2297
20,21,-2.5911,0.0844
21,22,-2.1729,-0.2399
22,23,-2.3456,0.1232
23,24,-2.0323,0.0936
24,25,-2.4136,0.0133
25,26,-2.2888,0.1413
26,27,-2.4431,-0.0722
27,28,-2.1076,0.2152
28,29,-2.2354,0.1393
29,30,-2.3579,0.2691
30,31,-2.4841,0.0818
31,32,-2.3269,-0.1632
32,33,-2.3867,0.0696
33,34,-2.627,0.0377
34,35,-2.5801,0.0869
35,36,-2.6139,-0.0592
36,37,-2.439,-0.1601
37,38,-2.2173,-0.228
38,39,-2.3145,-0.2639
39,40,-2.4417,0.0983
40,41,-2.532,0.0375
41,42,-2.3238,0.0031
42,43,-2.5995,0.043
43,44,-2.4976,0.0859
44,45,-2.4752,0.2144
45,46,-2.4101,-0.1364
46,47,-2.2,0.1531
47,48,-2.309,0.2527
48,49,-2.2754,-0.0518
49,50,-2.3221,0.0614
50,51,-2.1445,-0.2563
51,52,-2.1557,-0.0613
52,53,-2.6111,0.0366
53,54,-2.4687,0.114
54,55,-2.2134,0.0896
55,56,-2.3769,0.1297
56,57,-2.3943,-0.035
57,58,-2.7319,-0.0013
58,59,-2.5225,0.2732
59,60,-2.3717,-0.0854
60,61,-2.4082,0.1517
61,62,-2.7609,0.0272
62,63,-2.4312,-0.1411
63,64,-2.3376,0.0414
64,65,-2.3954,0.0741
65,66,-2.5467,-0.1621
66,67,-2.2856,-0.2463
67,68,-2.3957,0.0451
68,69,-2.3195,-0.001
69,70,-2.431,0.0872
70,71,-2.0574,0.1453
