,Epoch,Generator Loss,Discriminator Loss
0,1,-1.2711,0.0984
1,2,-0.0956,-1.9406
2,3,-0.7317,0.0609
3,4,1.6669,-0.0281
4,5,0.8288,-0.8254
5,6,-1.2683,-1.1189
6,7,0.1641,1.5761
7,8,-1.9412,-3.7214
8,9,0.4227,2.3399
9,10,-0.1593,0.0003
10,11,4.224,5.4562
11,12,2.1523,2.3872
12,13,-1.1867,-0.9975
13,14,-0.5193,-0.6403
14,15,1.4423,0.1991
15,16,-1.6325,-0.3833
16,17,0.1541,2.283
17,18,0.6446,2.2033
18,19,-0.5747,-2.1254
19,20,-3.1309,-0.4043
20,21,0.7264,1.0087
21,22,-1.1696,-0.7911
22,23,-1.2068,0.7731
23,24,-0.3855,-0.6879
24,25,-1.6779,1.0002
25,26,-0.8174,-0.8689
26,27,-0.2648,-0.9355
27,28,-1.174,2.2347
28,29,-0.7318,2.3874
29,30,0.5098,-2.6942
30,31,-0.2319,1.4773
31,32,0.5644,0.9562
32,33,-1.0457,-1.8865
33,34,-2.484,-2.7503
34,35,1.2239,1.406
35,36,-1.6905,-0.0165
36,37,1.0306,-1.8722
37,38,-0.1237,-0.2441
38,39,0.9233,0.5012
39,40,-2.2968,0.4977
40,41,-1.3131,2.2579
41,42,1.3844,1.6583
42,43,-1.4275,0.3221
43,44,-0.5478,-0.6058
44,45,2.0792,-0.5336
45,46,-0.5127,3.0703
46,47,0.0236,-0.3798
47,48,-3.9569,0.4949
48,49,1.2192,1.753
49,50,-1.761,-1.5924
50,51,-0.3366,3.0009
51,52,1.1778,-1.5704
52,53,-1.0848,-3.2788
53,54,0.1508,1.1207
54,55,-1.3388,1.373
55,56,-2.0094,-0.2902
56,57,-0.2276,-0.8503
57,58,0.9508,1.2992
58,59,0.384,2.2807
59,60,2.7591,-3.5859
60,61,-1.2789,-2.323
61,62,0.5085,-2.4165
62,63,-0.1255,1.9759
63,64,2.9359,1.1025
64,65,1.1922,-1.7657
65,66,-1.0069,-1.7799
66,67,1.359,-2.7485
67,68,0.0394,-3.6069
68,69,-0.7415,1.3791
69,70,1.7356,3.5568
70,71,0.3593,2.199
71,72,0.8442,-1.1065
72,73,1.14,-4.9078
73,74,-0.9122,0.5683
74,75,-0.3289,4.0713
75,76,0.3482,0.3127
76,77,1.1915,3.6008
77,78,1.3072,-0.8218
78,79,0.6746,1.3402
79,80,-0.2285,0.1158
80,81,1.3992,-1.6264
81,82,0.9385,-4.5031
82,83,-1.1013,0.1
83,84,-0.7824,-1.7631
84,85,-2.259,0.1251
85,86,-1.1063,0.7527
86,87,0.1539,-0.5056
87,88,-0.5307,-2.6232
88,89,-1.4704,0.0798
89,90,-1.5269,0.563
90,91,1.282,0.5376
91,92,-1.7049,-3.672
92,93,-1.1845,2.0404
93,94,2.2888,0.4781
94,95,-1.0429,1.3189
95,96,0.0787,1.3429
96,97,0.1497,-2.1373
97,98,0.5668,0.7991
98,99,1.4398,-2.419
99,100,-2.9952,-0.4581
100,101,-0.7611,-0.5463
101,102,-0.5715,-1.6885
102,103,-1.5671,-1.6602
103,104,1.5652,0.8792
104,105,0.0546,-0.2931
105,106,0.5984,-2.411
106,107,-0.7524,0.6108
107,108,-0.4533,-0.7606
108,109,-0.9106,-2.3946
109,110,-1.9606,-2.8852
110,111,-0.6067,0.0584
111,112,1.7776,-3.9715
112,113,3.6004,1.6518
113,114,0.3488,-1.0672
114,115,-0.8756,-1.1435
115,116,0.2603,-0.5226
116,117,-0.2881,0.2163
117,118,0.0709,-1.953
118,119,-0.6296,-1.3152
119,120,0.3082,-1.0759
120,121,1.6282,-0.2174
121,122,0.7413,0.7
122,123,1.3034,-0.9686
123,124,-0.3686,-0.9383
124,125,1.6261,2.8691
125,126,-0.6765,1.518
126,127,0.695,1.5179
127,128,0.3663,-2.1018
128,129,0.5003,-0.4294
129,130,0.4502,0.3075
130,131,-0.4763,-0.0353
131,132,-0.1301,0.6671
132,133,-0.3854,-0.7104
133,134,0.3014,-2.5008
134,135,-0.7989,-3.9393
135,136,3.0055,0.4685
136,137,1.0399,-0.338
137,138,-0.6425,-0.9177
138,139,0.6397,0.5353
139,140,0.1697,-1.4147
140,141,0.4708,-2.3571
141,142,-0.3181,1.6761
142,143,2.1561,1.0078
143,144,1.1071,-0.428
144,145,-0.1159,2.6531
145,146,-1.5488,-0.9138
146,147,1.5856,0.9534
147,148,0.5031,-2.4163
148,149,-0.844,-2.544
149,150,-0.3668,0.3443
