,Epoch,Generator Loss,Discriminator Loss
0,1,0.5631,-0.0657
1,2,0.5294,0.0139
2,3,0.4597,-0.0425
3,4,0.3518,-0.0414
4,5,0.2924,-0.1474
5,6,0.3569,-0.0544
6,7,0.1509,-0.1807
7,8,-0.0414,-0.0442
8,9,-0.116,-0.1185
9,10,-0.2005,-0.0406
10,11,-0.3102,-0.2164
11,12,-0.6044,0.131
12,13,-1.0217,0.0126
13,14,-0.7533,-0.0318
14,15,-1.0137,0.4228
15,16,-1.008,0.168
16,17,-0.8277,0.1556
17,18,-1.0772,0.3227
18,19,-0.781,0.2641
19,20,-0.8408,0.0156
20,21,-0.9392,-0.078
21,22,-0.7513,0.0154
22,23,-0.4971,-0.3493
23,24,-0.3583,-0.2571
24,25,-0.4574,-0.6193
25,26,-0.1284,-0.6449
26,27,-0.522,-0.0113
27,28,-0.5132,-0.3653
28,29,-0.6496,0.045
29,30,-0.6464,-0.0224
30,31,-0.6,0.297
31,32,-0.7762,0.0434
32,33,-0.7969,0.4866
33,34,-0.9557,-0.0801
34,35,-0.7193,-0.065
35,36,-1.0268,-0.1648
36,37,-1.0465,-0.188
37,38,-1.1958,0.311
38,39,-1.1343,-0.0359
39,40,-1.5162,0.9335
40,41,-1.5924,0.367
41,42,-1.4959,-0.0398
42,43,-1.1996,-0.0424
43,44,-1.1091,-0.5216
44,45,-1.0011,-0.3689
45,46,-1.1116,-0.4901
46,47,-1.0485,-0.4289
47,48,-1.1853,-0.0025
48,49,-1.6348,0.1752
49,50,-1.3964,-0.0346
50,51,-1.5111,0.1862
51,52,-1.9377,0.0759
52,53,-1.6561,0.2157
53,54,-1.6617,0.1807
54,55,-1.5161,0.3052
55,56,-1.4484,0.1511
56,57,-1.4251,-0.2572
57,58,-1.3705,-0.0574
58,59,-1.5609,-0.0306
59,60,-1.6686,0.2246
60,61,-1.8392,0.5121
61,62,-1.88,0.5171
62,63,-2.0948,-0.2239
63,64,-2.0219,0.1086
64,65,-1.5202,-0.1208
65,66,-1.5266,-0.0547
66,67,-1.3958,-0.337
67,68,-1.4681,-0.2363
68,69,-1.2874,-0.2964
69,70,-1.6747,0.1115
70,71,-1.5358,0.2103
71,72,-1.4423,0.1112
72,73,-1.4746,0.2065
73,74,-1.2599,0.2564
74,75,-1.6448,0.0332
75,76,-1.7197,-0.1325
76,77,-1.6431,0.2238
77,78,-1.5981,-0.1844
78,79,-1.9945,0.1784
79,80,-1.9267,0.3194
80,81,-1.7695,-0.1966
81,82,-2.1127,0.2615
82,83,-2.0646,0.1285
83,84,-1.8833,-0.081
84,85,-2.0337,-0.1357
85,86,-1.9055,-0.1388
86,87,-1.8395,-0.0605
87,88,-2.0979,0.0804
88,89,-1.9342,-0.4446
89,90,-2.0507,0.1736
90,91,-2.375,0.2448
91,92,-2.0412,0.4585
92,93,-1.7927,-0.3875
93,94,-1.694,-0.5379
94,95,-2.1011,0.2985
95,96,-2.3148,-0.3773
96,97,-2.4726,-0.0166
97,98,-1.9893,0.1856
98,99,-2.4752,0.2757
99,100,-2.3007,0.3225
100,101,-2.0183,0.1379
101,102,-2.061,-0.4161
102,103,-1.7851,-0.1626
103,104,-2.0682,0.014
104,105,-1.5544,0.0418
105,106,-1.9501,-0.0898
106,107,-2.1276,-0.2076
107,108,-2.2552,-0.2106
108,109,-1.8223,-0.1503
109,110,-1.8521,0.0644
110,111,-1.8281,-0.1434
111,112,-1.6412,-0.3611
112,113,-1.7661,0.0425
113,114,-2.0657,-0.3425
114,115,-1.6733,0.3064
115,116,-2.0893,0.1855
116,117,-1.7886,0.1353
117,118,-1.8188,-0.2618
118,119,-2.0229,-0.1872
119,120,-2.3151,0.1268
120,121,-2.0159,0.1761
121,122,-1.8321,0.0712
122,123,-2.0012,-0.148
123,124,-1.8344,-0.0037
124,125,-2.0449,-0.2206
125,126,-2.3065,-0.3595
126,127,-2.1004,-0.189
127,128,-2.1964,0.2033
128,129,-2.3339,0.0133
129,130,-2.1677,0.4091
130,131,-2.1418,-0.0278
131,132,-1.957,0.196
132,133,-2.3757,-0.2193
133,134,-1.8841,0.0578
134,135,-2.0356,0.1491
135,136,-2.2135,-0.4689
136,137,-2.0248,0.0856
137,138,-2.0355,0.1927
138,139,-2.0198,-0.2122
139,140,-1.8266,-0.0029
140,141,-1.9606,-0.1993
141,142,-2.053,-0.0366
142,143,-2.1097,0.102
143,144,-1.8216,-0.1148
144,145,-1.8181,0.2187
145,146,-1.8334,0.0939
146,147,-1.7614,-0.4214
147,148,-1.3365,0.1411
148,149,-1.9418,-0.021
149,150,-1.9937,-0.3175
150,151,-1.9899,0.1955
151,152,-2.0424,-0.108
152,153,-2.0952,-0.095
153,154,-1.7584,-0.319
154,155,-1.821,0.058
155,156,-1.6306,-0.2871
156,157,-1.8446,0.3618
157,158,-1.7666,-0.0851
158,159,-1.9955,-0.0441
159,160,-1.7776,-0.5082
160,161,-1.7741,0.4044
161,162,-1.9633,0.7067
162,163,-1.7208,-0.1988
163,164,-1.8047,-0.1012
164,165,-1.7572,-0.0123
165,166,-1.5877,-0.545
166,167,-2.146,-0.4465
167,168,-1.9216,-0.3893
168,169,-1.7802,-0.6212
169,170,-2.073,0.0025
170,171,-2.2026,-0.1748
171,172,-2.5976,-0.2837
172,173,-2.2943,-0.024
173,174,-2.0044,0.0966
174,175,-2.2097,0.1127
175,176,-1.8474,-0.1389
176,177,-1.9577,-0.1308
177,178,-2.1351,-0.25
178,179,-2.1798,0.2208
179,180,-1.9912,0.1848
180,181,-2.1759,-0.0691
181,182,-1.86,-0.4897
182,183,-1.8689,-0.3018
183,184,-2.1537,-0.2477
184,185,-1.7833,-0.063
185,186,-1.7231,-0.3557
186,187,-2.1521,-0.2213
187,188,-1.6953,0.0575
188,189,-2.1186,0.2731
189,190,-2.0239,0.1677
190,191,-1.8129,0.1995
191,192,-2.0476,0.1576
192,193,-1.9908,0.0388
193,194,-2.166,0.2049
194,195,-2.1157,-0.085
195,196,-2.115,-0.1241
196,197,-1.8038,-0.0427
197,198,-1.6342,0.0155
198,199,-1.8968,-0.4528
199,200,-1.8474,-0.2064
200,201,-1.7179,0.0208
201,202,-2.2626,0.3682
202,203,-2.2736,0.4221
203,204,-2.0927,-0.0358
204,205,-2.2088,0.1579
205,206,-2.5493,0.0194
206,207,-1.7435,-0.3712
207,208,-1.5173,-0.7669
208,209,-1.3828,-0.5664
209,210,-1.5088,-0.2051
210,211,-1.3143,-0.7666
211,212,-1.779,-0.4516
212,213,-1.5923,-0.1291
213,214,-1.7967,0.1
214,215,-1.9982,0.0109
215,216,-2.059,-0.1216
216,217,-1.9949,-0.2972
217,218,-2.0491,-0.2163
218,219,-1.7738,-0.5158
219,220,-1.7782,0.2715
220,221,-1.6949,0.0669
221,222,-1.8167,-0.1333
222,223,-2.0366,0.2842
223,224,-2.2236,0.09
224,225,-2.1,0.2079
225,226,-2.0492,0.0516
226,227,-1.8399,-0.2099
227,228,-1.7537,-0.3001
228,229,-1.6812,-0.2109
229,230,-1.9589,-0.068
230,231,-1.8606,-0.402
231,232,-1.7598,-0.7902
232,233,-2.0801,-0.3006
233,234,-1.9986,-0.3045
234,235,-2.1315,0.3796
235,236,-1.8773,-0.0002
236,237,-2.0137,-0.2782
237,238,-2.1695,-0.3987
238,239,-2.1233,-0.4895
239,240,-1.8943,-0.3351
240,241,-1.904,-0.0472
241,242,-2.0878,-0.0625
242,243,-1.9358,-0.4365
243,244,-2.2822,0.1693
244,245,-1.7045,-0.1974
245,246,-2.1467,0.1392
246,247,-2.285,0.6437
247,248,-2.1309,0.1742
248,249,-2.2268,0.1176
249,250,-1.9903,0.0607
250,251,-2.3535,-0.4657
251,252,-2.029,0.1973
252,253,-2.3881,0.0245
253,254,-1.9063,-0.2098
254,255,-1.9966,-0.3044
255,256,-2.4467,0.0399
256,257,-2.0132,-0.6787
257,258,-1.6483,-0.512
258,259,-2.2525,-0.3061
259,260,-2.1034,-0.6547
260,261,-1.6725,-0.438
261,262,-2.106,-0.447
262,263,-1.8896,-0.4642
263,264,-1.982,0.0799
264,265,-1.7681,-0.0515
265,266,-1.7296,-0.009
266,267,-1.5901,-0.4203
267,268,-1.9125,0.2483
268,269,-1.7352,-0.431
269,270,-1.3793,0.0198
270,271,-1.3542,-0.7807
271,272,-1.5102,-0.0719
272,273,-1.3253,-0.3162
273,274,-1.4089,-0.7496
274,275,-1.8736,0.4242
275,276,-1.7689,-0.1458
276,277,-1.5966,0.1247
277,278,-1.1511,-0.4498
278,279,-1.3359,-0.3638
279,280,-1.4655,-0.8578
280,281,-1.2872,-0.6987
281,282,-1.3874,-0.3436
282,283,-1.701,-0.0526
283,284,-1.4507,-0.1955
284,285,-1.6636,-0.413
285,286,-1.8194,0.0736
286,287,-2.3627,-0.3888
287,288,-1.6267,-0.2853
288,289,-1.6841,-0.5619
289,290,-1.7638,-0.2552
290,291,-1.7563,-0.2529
291,292,-1.7247,-0.1651
292,293,-1.9413,-0.6886
293,294,-1.7351,-0.4035
294,295,-1.7825,-0.3683
295,296,-1.5431,-0.2401
296,297,-1.7914,0.1862
297,298,-1.7162,-0.2453
298,299,-1.4427,-0.1653
299,300,-1.8511,-0.1064
300,301,-1.6311,-0.1129
301,302,-1.9718,-0.2197
302,303,-1.759,0.4438
303,304,-2.266,0.165
304,305,-1.9339,-0.194
305,306,-1.5566,0.4866
306,307,-1.3457,-0.5515
307,308,-1.197,-0.5966
308,309,-0.9713,-0.2296
309,310,-1.4755,-0.6325
310,311,-1.4728,-0.3367
311,312,-1.2609,-0.64
312,313,-1.2981,-0.2615
313,314,-1.0856,-0.0561
314,315,-1.1767,-0.5554
315,316,-1.0047,-0.0503
316,317,-1.4006,-0.2177
317,318,-1.4156,-0.3502
318,319,-1.6729,-0.5084
319,320,-1.6884,-0.164
320,321,-1.5763,0.2097
321,322,-1.6501,-0.2062
322,323,-1.8719,-0.4862
323,324,-1.6875,0.4155
324,325,-2.1888,-0.175
325,326,-2.0939,-0.3325
326,327,-1.9111,-0.605
327,328,-1.6679,-0.2485
328,329,-1.4924,-0.1728
329,330,-1.4522,-0.4322
330,331,-1.5888,-0.2728
331,332,-1.2269,-0.7749
332,333,-1.3779,-0.6134
333,334,-1.3893,-1.0853
334,335,-1.2942,-1.3037
335,336,-1.2232,-0.5567
336,337,-1.5244,-0.453
337,338,-1.5427,0.2718
338,339,-1.6844,0.2762
339,340,-1.2902,-0.1655
340,341,-1.3402,-0.3359
341,342,-1.7,0.0424
342,343,-1.577,0.3165
343,344,-1.0155,-0.2255
344,345,-1.2249,-0.0266
345,346,-1.473,-0.1338
346,347,-1.2186,-0.8601
347,348,-0.7993,-0.8335
348,349,-0.9727,0.0283
349,350,-1.0778,-0.6077
350,351,-1.2608,-0.1711
351,352,-0.7808,-0.7856
352,353,-0.7769,-0.1531
353,354,-0.999,-0.2926
354,355,-1.5098,-0.2397
355,356,-1.2639,-0.4219
356,357,-1.7124,-0.1091
357,358,-1.492,0.0073
358,359,-2.0964,0.141
359,360,-1.974,0.0093
360,361,-1.1067,-0.2331
361,362,-1.447,-0.3516
362,363,-1.2205,-0.3575
363,364,-1.0681,-0.4132
364,365,-1.3497,-0.1808
365,366,-1.1649,-0.8431
366,367,-1.5006,-0.1286
367,368,-0.8783,-0.2259
368,369,-1.5635,-0.3249
369,370,-1.2936,-1.1538
370,371,-1.1494,-0.1675
371,372,-1.2006,-0.7627
372,373,-1.5227,-0.1082
373,374,-1.1946,0.0959
374,375,-1.3287,0.3855
375,376,-1.5782,-0.1186
376,377,-1.379,0.0553
377,378,-1.3804,-0.6265
378,379,-1.1115,-0.4358
379,380,-0.807,-0.6641
380,381,-1.3392,-0.8336
381,382,-1.1217,-0.0312
382,383,-1.0746,-0.3948
383,384,-1.184,-0.5015
384,385,-1.1373,-0.6914
385,386,-0.8894,-0.2744
386,387,-0.6268,0.0094
387,388,-1.206,0.3433
388,389,-1.5196,-0.0216
389,390,-1.1364,0.0273
390,391,-1.4856,-0.2859
391,392,-1.666,0.1404
392,393,-1.6014,0.0269
393,394,-1.5997,-0.1739
394,395,-1.0485,0.3214
395,396,-1.4708,0.0928
396,397,-0.9556,-0.3888
397,398,-0.9027,-0.2588
398,399,-1.4096,-0.1239
399,400,-1.1576,0.129
400,401,-1.1576,-0.3727
401,402,-1.8856,-0.2635
402,403,-1.5323,-0.4005
403,404,-1.628,-0.3144
404,405,-1.4786,-0.0797
405,406,-1.2496,-0.4548
406,407,-1.403,0.3206
407,408,-1.5473,-0.1488
408,409,-1.3409,-0.8392
409,410,-1.4669,-0.6953
410,411,-1.4912,0.3399
411,412,-1.252,0.2955
412,413,-1.2289,0.0417
413,414,-1.3044,0.2047
414,415,-1.7347,0.659
415,416,-1.2107,-0.0165
416,417,-1.3746,-0.523
417,418,-0.989,-0.1787
418,419,-0.8119,-0.0088
419,420,-1.567,0.81
420,421,-1.2158,0.2214
421,422,-0.9055,-0.2425
422,423,-1.0694,-0.3429
423,424,-1.6618,-0.5979
424,425,-1.3234,-0.6556
425,426,-1.2985,0.3387
426,427,-1.0583,-1.1259
427,428,-0.9636,0.0255
428,429,-1.3046,0.094
429,430,-1.6909,-0.0888
430,431,-1.5334,-0.6022
431,432,-0.8794,-0.2786
432,433,-1.3357,0.3077
433,434,-0.647,-0.4438
434,435,-0.3289,-0.5157
435,436,-1.3795,-0.3461
436,437,-1.2746,0.0175
437,438,-1.4823,0.2838
438,439,-1.4829,0.1402
439,440,-0.9303,-0.0906
440,441,-1.4855,-0.7179
441,442,-1.1497,-0.4366
442,443,-1.4533,-0.3531
443,444,-0.9023,0.0902
444,445,-1.6399,-0.0205
445,446,-1.1092,-0.6335
446,447,-1.4337,0.4486
447,448,-1.1695,0.5457
448,449,-1.3133,0.0485
449,450,-2.0262,-0.2735
450,451,-1.1882,-0.1665
451,452,-1.4032,-0.3588
452,453,-1.1816,-0.3953
453,454,-1.3142,0.0148
454,455,-1.2651,0.1868
455,456,-0.5679,-0.2174
456,457,-1.6979,0.4035
457,458,-1.3177,-0.6224
458,459,-1.1643,-0.1235
459,460,-1.591,0.7494
460,461,-0.9064,-0.9886
461,462,-1.0011,-0.1801
462,463,-0.9386,-0.4927
463,464,-0.5801,0.2929
464,465,-1.1799,-0.1269
465,466,-1.1935,-0.7348
466,467,-0.9635,-0.6865
467,468,-0.8788,-0.0258
468,469,-0.9575,0.2927
469,470,-0.9238,-0.5894
470,471,-1.3754,0.1862
471,472,-0.3858,-0.6837
472,473,-1.0249,-0.0353
473,474,-0.559,-0.1286
474,475,-1.2075,-0.1835
475,476,-0.4317,-0.2319
476,477,-0.613,0.392
477,478,-0.7262,-0.784
478,479,-0.8208,0.035
479,480,-0.7199,0.082
480,481,-1.189,0.8161
481,482,-0.9305,-0.1655
482,483,-0.9524,-0.9734
483,484,-0.8102,-0.1958
484,485,-0.7067,-0.1892
485,486,-0.2737,0.161
486,487,-0.6611,-0.0701
487,488,-0.3437,-0.2353
488,489,-0.4817,-0.4966
489,490,-0.2546,0.1218
490,491,-0.6091,0.4886
491,492,-1.1734,-0.7177
492,493,-0.7799,-0.5566
493,494,-1.0277,-1.5781
494,495,-0.9681,0.4854
495,496,-0.6675,-0.4154
496,497,-0.356,-0.6866
497,498,-0.5136,-0.7702
498,499,-0.281,-0.6628
499,500,-0.3621,-0.2404
