classifier,train_data,f1_real,f1_synth
LogisticRegression,real,0.26667,0.18868
LogisticRegression,synth,0.57143,0.91089
LogisticRegression,mixed,0.57692,0.73913
RandomForestClassifier,real,0.5641,0.3871
RandomForestClassifier,synth,0.6087,0.93069
RandomForestClassifier,mixed,0.90909,0.8481
MLPClassifier,real,0.38889,0.33898
MLPClassifier,synth,0.57971,0.92929
MLPClassifier,mixed,0.61224,0.75
DecisionTreeClassifier,real,0.52381,0.6
DecisionTreeClassifier,synth,0.6087,0.91667
DecisionTreeClassifier,mixed,0.85714,0.7619
