Epoch,Generator Loss,Discriminator Loss
1,0.7369,0.0246
2,0.7421,0.0323
3,0.7135,-0.0954
4,0.7343,-0.0154
5,0.6999,-0.0745
6,0.6071,-0.012
7,0.579,-0.0661
8,0.559,-0.1932
9,0.3457,-0.0586
10,0.2051,0.0452
11,0.0787,0.1712
12,-0.0554,-0.0618
13,0.0388,0.0139
14,-0.1865,-0.0281
15,-0.1698,-0.1748
16,-0.4211,-0.0542
17,-0.133,-0.0599
18,-0.0551,0.0401
19,-0.2315,-0.0551
20,-0.3105,0.1972
21,-0.2114,0.156
22,-0.5319,0.3085
23,-0.2522,0.2703
24,-0.4117,-0.1144
25,-0.2168,0.151
26,-0.0914,-0.2493
27,-0.4119,0.0339
28,-0.1271,-0.1018
29,-0.4806,-0.0858
30,-0.3933,0.2618
31,-0.5646,0.2315
32,-0.382,0.3414
33,-0.6497,0.4589
34,-0.9116,0.2383
35,-0.6778,0.4035
36,-0.6197,0.1633
37,-0.7293,0.1137
38,-0.8559,-0.1931
39,-0.5471,-0.1607
40,-0.5674,0.1409
41,-0.7315,0.2082
42,-0.7701,-0.1464
43,-0.6226,-0.0889
44,-0.6915,-0.0897
45,-0.6512,0.0253
46,-0.8003,0.2684
47,-0.5438,-0.3793
48,-0.5762,-0.1185
49,-0.6268,0.1264
50,-0.7221,-0.2233
51,-0.8735,0.3757
52,-1.0454,-0.048
53,-0.9754,0.474
54,-0.9314,0.0842
55,-1.2537,0.1145
56,-0.6753,-0.0096
57,-0.8884,-0.0746
58,-0.7612,-0.1707
59,-0.9406,-0.0873
60,-0.7714,0.1885
61,-0.8363,0.1985
62,-1.1064,0.2095
63,-1.1454,0.1761
64,-1.234,0.1517
65,-1.0351,0.1254
66,-0.7972,0.0171
67,-0.8164,0.0699
68,-0.796,-0.1736
69,-0.8264,0.1185
70,-1.1375,0.184
71,-1.2689,0.1705
72,-1.0328,0.0282
73,-1.2108,0.5461
74,-1.5126,-0.2079
75,-1.2653,0.1498
76,-1.3224,0.1699
77,-0.9555,-0.1224
78,-1.1807,-0.2905
