Epoch,Generator Loss,Discriminator Loss
1,0.5975,-0.0119
2,0.6114,-0.0694
3,0.5732,-0.2229
4,0.5084,-0.1621
5,0.4126,-0.1468
6,0.2498,-0.2007
7,0.2168,-0.1248
8,-0.0494,-0.2595
9,-0.2735,-0.2283
10,-0.4623,-0.304
11,-0.383,-0.5135
12,-0.5116,-0.4271
13,-0.7816,-0.0758
14,-0.8744,-0.6364
15,-0.8083,-0.8277
16,-0.797,-0.1364
17,-1.0925,-0.2524
18,-0.982,-0.1519
19,-1.1637,-0.0855
20,-1.2583,-0.2221
21,-1.4097,0.2622
22,-1.0981,0.2168
23,-1.0198,-0.1515
24,-1.0677,-0.0082
25,-1.3076,0.1233
26,-1.1759,-0.1472
27,-1.1594,-0.1316
28,-1.1636,-0.3432
29,-1.3969,0.2881
30,-1.0308,-0.376
31,-1.3373,-0.2244
32,-1.3228,-0.1972
33,-1.2163,0.1226
34,-1.2527,-0.19
35,-1.1808,-0.2978
36,-1.4483,-0.0929
37,-1.4225,-0.1
38,-1.7871,0.1338
39,-1.6272,0.7802
40,-1.4551,0.3682
41,-1.3763,-0.2527
42,-1.4318,-0.0245
43,-1.4573,0.0699
44,-1.5886,-0.0175
45,-1.4283,0.3052
46,-1.6122,0.1264
47,-1.7998,0.1913
48,-1.8057,0.4644
49,-2.0471,0.233
50,-1.8146,0.2636
51,-1.5243,-0.1194
52,-1.7143,0.0274
53,-1.422,0.1371
54,-1.7888,-0.0861
55,-1.5165,-0.2838
56,-2.0438,0.023
57,-1.5616,-0.2508
58,-2.0015,-0.1958
59,-1.94,-0.075
60,-1.9144,0.0234
61,-1.6527,0.2451
62,-2.0262,0.0039
63,-1.5981,-0.1089
64,-1.6981,-0.0602
65,-1.8375,0.218
66,-1.907,0.383
67,-1.9924,0.0283
68,-1.9692,0.2397
69,-2.2094,0.2823
70,-2.0305,-0.1621
71,-2.2244,-0.2971
72,-1.8234,0.4414
73,-1.9213,-0.0154
74,-1.9937,0.127
75,-1.8172,0.1646
76,-2.0012,0.6261
77,-2.1157,0.112
78,-2.0571,0.4324
79,-2.1408,0.2434
80,-2.1965,0.573
81,-1.8079,-0.2606
82,-1.6478,-0.1559
83,-1.7574,-0.3947
84,-2.0744,-0.343
85,-2.017,0.2798
86,-1.8972,-0.0748
87,-2.3321,0.0745
88,-1.9387,0.2273
89,-2.0937,0.3052
90,-1.9045,-0.462
91,-1.9446,-0.2702
92,-1.9531,0.1948
93,-1.9077,0.0524
94,-2.0668,-0.1849
95,-2.1878,-0.1602
96,-2.1962,0.5376
97,-2.3031,0.0594
98,-1.9853,-0.1721
99,-1.8285,-0.1975
100,-2.0871,-0.2098
101,-2.0125,-0.3982
102,-1.7918,0.1018
