,Epoch,Generator Loss,Discriminator Loss
0,1,0.8307,-0.534
1,2,-0.3507,-0.2448
2,3,-0.3185,0.0841
3,4,-0.366,0.3659
4,5,0.117,-0.1557
5,6,-0.3482,0.0274
6,7,-0.456,0.2772
7,8,-0.5221,0.1264
8,9,-0.3705,-0.2629
9,10,-0.7456,0.0775
10,11,-0.8891,0.2141
11,12,-0.2833,-0.5683
12,13,-0.8359,0.1435
13,14,-0.947,0.0858
14,15,-0.9855,0.0278
15,16,-1.1478,-0.0689
16,17,-1.0691,-0.3694
17,18,-1.229,0.2193
18,19,-1.23,0.1397
19,20,-1.2265,0.0883
20,21,-1.7066,0.0124
21,22,-1.8106,0.2237
22,23,-1.7137,0.1841
23,24,-1.3067,-0.1781
24,25,-1.4064,0.06
25,26,-1.292,-0.3468
26,27,-1.8856,-0.0161
27,28,-1.9404,0.0043
28,29,-1.9231,-0.0706
29,30,-2.1296,0.0507
30,31,-1.9066,-0.2502
31,32,-1.9676,0.1107
32,33,-1.8623,0.435
33,34,-2.2158,-0.1623
34,35,-1.9813,0.0528
35,36,-1.9226,0.0449
36,37,-2.2654,0.1462
37,38,-2.2259,0.1437
38,39,-2.0968,-0.0912
39,40,-2.2228,0.4111
40,41,-2.356,-0.2847
41,42,-2.1842,0.0881
42,43,-1.9332,0.1409
43,44,-2.322,0.0284
44,45,-2.5073,-0.389
45,46,-2.311,0.3434
46,47,-2.1984,-0.3763
47,48,-2.2907,0.1614
48,49,-1.9055,0.0799
49,50,-2.3382,0.1218
50,51,-2.5548,-0.2337
51,52,-2.8827,-0.4909
52,53,-1.9291,0.0084
53,54,-2.2677,-0.1158
54,55,-2.4079,0.5937
55,56,-2.7149,-0.2742
56,57,-2.8715,0.3212
57,58,-2.2496,-0.0564
58,59,-2.6027,-0.1932
59,60,-2.5088,0.0212
60,61,-2.5566,0.0505
61,62,-2.8513,-0.0616
62,63,-2.4142,0.1529
63,64,-2.5782,-0.5674
64,65,-2.4662,0.0148
65,66,-2.0986,-0.29
66,67,-2.6072,0.1799
67,68,-2.469,-0.1681
68,69,-2.525,-0.1805
69,70,-2.8427,-0.1265
70,71,-2.5231,-0.3239
71,72,-2.483,-0.0763
72,73,-2.489,-0.1048
73,74,-2.5368,-0.0312
74,75,-2.7489,-0.3487
75,76,-2.5487,-0.4617
76,77,-2.4003,-0.3706
77,78,-2.6063,0.1636
78,79,-2.294,-0.4919
79,80,-2.5445,0.2136
80,81,-2.896,-0.2506
81,82,-2.7366,0.0689
82,83,-2.9783,0.1828
83,84,-2.5996,0.3875
84,85,-2.6498,-0.2003
85,86,-2.6511,0.0714
86,87,-2.64,0.1051
87,88,-2.5024,0.2364
88,89,-2.634,-0.0283
89,90,-1.8441,0.0099
90,91,-2.291,0.2764
91,92,-2.4136,0.172
92,93,-2.9211,0.4532
93,94,-2.2558,0.0244
94,95,-2.5178,0.5556
95,96,-2.2326,-0.1174
96,97,-2.5836,0.2092
97,98,-2.4799,-0.0111
98,99,-2.5031,-0.0944
99,100,-1.82,-0.0753
100,101,-2.4149,-0.181
101,102,-2.4885,-0.1564
102,103,-2.7373,0.0904
103,104,-2.8659,-0.0009
104,105,-2.2155,-0.0342
105,106,-2.2212,-0.1656
106,107,-2.4256,-0.3491
107,108,-2.2365,0.1443
108,109,-2.9483,-0.0986
109,110,-2.442,-0.3136
110,111,-2.6332,0.2553
111,112,-2.4209,-0.1391
112,113,-2.465,0.1686
113,114,-2.4295,-0.5547
114,115,-2.4469,-0.0599
115,116,-2.1816,0.0294
116,117,-2.1886,-0.0824
117,118,-1.9165,-0.1562
118,119,-2.1939,-0.3919
119,120,-2.1286,-0.0046
120,121,-2.648,0.2538
121,122,-1.8912,-0.2117
122,123,-2.4839,0.0064
123,124,-2.3043,0.2134
124,125,-2.7733,0.0453
125,126,-2.4812,0.2103
126,127,-2.2641,-0.0572
127,128,-2.1491,0.0077
128,129,-2.4077,-0.2805
129,130,-2.4666,-0.0583
130,131,-2.6209,0.0357
131,132,-2.1732,-0.3746
132,133,-2.1356,-0.1364
133,134,-2.463,-0.316
134,135,-2.52,-0.0258
135,136,-2.5106,0.3512
136,137,-1.9881,-0.1585
137,138,-2.1056,-0.39
138,139,-1.822,-0.218
139,140,-2.3252,-0.1976
140,141,-2.2029,-0.0156
141,142,-2.1795,0.2394
142,143,-2.3638,-0.1908
143,144,-2.0192,0.1417
144,145,-2.4559,0.5056
145,146,-2.3816,-0.3283
146,147,-2.2414,-0.4159
147,148,-1.7248,-0.0783
148,149,-1.5992,-0.0485
149,150,-1.8635,-0.9107
