,Epoch,Generator Loss,Discriminator Loss
0,1,0.0939,-0.1461
1,2,-0.0974,-0.1879
2,3,-0.6474,0.2288
3,4,-0.2695,-0.395
4,5,-0.3146,0.3384
5,6,-0.7943,0.1485
6,7,-0.6788,-0.0002
7,8,-0.8488,0.0418
8,9,-1.1755,-0.1041
9,10,-1.1571,0.3938
10,11,-0.7985,-0.715
11,12,-1.0859,-0.084
12,13,-1.035,-0.2364
13,14,-1.247,-0.1214
14,15,-1.6601,-0.2615
15,16,-1.339,0.1525
16,17,-1.9536,-0.0744
17,18,-2.2443,0.0513
18,19,-1.4042,0.3694
19,20,-2.1865,-0.2064
20,21,-2.482,0.6325
21,22,-2.0727,0.2297
22,23,-1.9145,0.1158
23,24,-2.4122,0.0602
24,25,-1.995,-0.0266
25,26,-2.4222,-0.0829
26,27,-2.7693,0.0942
27,28,-2.4413,0.185
28,29,-2.604,0.1306
29,30,-2.1761,-0.3008
30,31,-2.4589,0.0841
31,32,-2.852,-0.3685
32,33,-2.4683,-0.1897
33,34,-2.2229,0.116
34,35,-2.4156,-0.4657
35,36,-2.4285,0.0301
36,37,-1.9518,-0.7945
37,38,-2.2422,0.1339
38,39,-2.4519,0.0876
39,40,-2.2194,0.2819
40,41,-2.0273,0.2359
41,42,-2.061,0.5972
42,43,-2.1612,0.1709
43,44,-2.8373,0.0985
44,45,-1.7569,0.2019
45,46,-2.2914,-0.0197
46,47,-2.8721,-0.0088
47,48,-2.0134,-0.5772
48,49,-2.5624,-0.2451
49,50,-2.1358,0.204
50,51,-2.5719,0.7129
51,52,-2.17,-0.3253
52,53,-2.8331,-0.0598
53,54,-2.4765,0.0449
54,55,-2.3132,0.0221
55,56,-2.5773,0.3228
56,57,-2.5899,-0.9303
57,58,-2.6715,0.6426
58,59,-1.9108,0.9252
59,60,-2.2462,0.111
60,61,-2.4058,0.2288
61,62,-2.3516,0.4149
62,63,-2.8168,0.354
63,64,-2.2358,0.0013
64,65,-1.9714,-0.5176
65,66,-2.4584,-0.8335
66,67,-2.6155,-0.2668
67,68,-2.5072,-0.3334
68,69,-2.6066,0.0156
69,70,-2.9488,-0.6903
70,71,-2.5225,0.1555
71,72,-2.3203,-0.6512
72,73,-2.3644,-0.3921
73,74,-2.5866,-0.6053
74,75,-2.6059,-0.3788
75,76,-2.8872,-0.3955
76,77,-2.7723,0.7369
