Epoch,Generator Loss,Discriminator Loss
1,6.8785,-4.0714
2,0.0572,-0.041
3,-1.1931,-1.3269
4,0.294,-0.6262
5,3.8029,0.3669
6,-3.6655,-1.6674
7,0.6992,1.1963
8,4.1891,0.0008
9,0.4288,-0.2002
10,-1.931,2.0254
11,1.6568,1.3349
12,-0.07,1.6697
13,2.0374,0.6881
14,3.4348,0.2931
15,-0.9543,1.6155
16,1.6795,1.2712
17,2.1704,0.5761
18,0.0547,-0.3883
19,1.6366,-1.3222
20,3.7861,1.3023
21,-3.5953,0.7351
22,0.9513,-0.6973
23,0.3676,-2.1956
24,3.5157,-1.9461
25,-3.4618,0.4927
26,2.8554,0.1637
27,5.8876,-1.0002
28,2.5587,-2.5186
29,0.4267,1.1037
30,4.8082,-1.2206
31,0.3775,-2.58
32,1.3172,0.075
33,3.819,-0.6991
34,0.2449,-0.1361
35,3.8391,1.8883
36,2.9381,-0.8829
37,0.0823,0.2513
38,4.4643,0.1422
39,-2.3702,-1.092
40,4.021,1.9421
41,1.3842,1.0177
42,1.476,-1.9405
43,2.624,0.7608
44,2.8391,-2.8743
45,0.5596,1.9915
46,4.0793,0.6984
47,0.1683,-0.1273
48,-1.6285,0.7668
49,0.9111,0.332
50,-0.7557,1.5513
51,0.5318,0.3124
52,-0.5681,0.3437
53,-0.6037,-0.3281
54,1.8339,-0.9327
55,-0.1069,-1.046
56,0.3732,-1.027
57,0.2709,1.5843
58,-0.3684,1.1982
59,1.6379,0.6294
60,2.3937,2.5429
61,0.7787,0.717
62,-6.3934,1.1828
63,-0.5985,0.3746
64,-0.5573,-0.2549
65,1.2659,0.1988
66,-0.2357,0.3687
67,-2.093,0.3751
68,-0.682,1.6731
69,1.4178,-1.0805
70,3.2498,1.1098
71,2.8272,0.0535
72,-0.3677,1.2287
73,2.7391,-0.9603
74,1.49,0.2414
75,2.8982,0.3971
76,-2.0137,0.8553
77,-3.6763,2.0774
78,-4.0446,-2.7323
79,-3.3033,0.3629
80,-1.9013,-1.2571
81,-2.0879,-2.3469
82,1.2492,0.7796
83,-3.9996,-1.0283
84,0.5798,-1.9825
85,-0.0005,-1.4429
86,-2.6006,-0.3842
87,-2.0153,-0.8629
88,-0.5435,1.6753
89,3.0628,-1.1118
90,3.9187,-1.4511
91,1.5544,0.7502
92,-0.9966,0.331
93,0.3291,0.5049
94,-0.1194,1.0028
95,-1.9256,0.1101
96,2.7662,1.0828
97,-3.1374,1.9761
98,0.2458,-3.3303
99,-1.7464,-0.7842
100,-2.764,2.3899
101,2.5378,0.2239
102,-2.0907,-1.9634
103,2.4746,-1.3994
104,1.7724,0.1301
105,-0.3704,0.1914
106,-1.9518,1.1813
107,-1.2051,0.4201
108,-1.8571,-1.0224
109,-2.8668,2.6242
110,-4.8515,2.0078
111,-2.3966,-0.6865
112,-1.2079,-2.3923
113,-1.2477,-0.4841
114,-1.437,-0.342
115,4.9228,1.238
116,-0.615,2.6003
117,0.3354,-0.5397
118,-3.1327,-0.6199
119,-0.1497,-1.3612
120,-0.1977,-0.2563
121,-1.413,-0.6965
122,-0.7377,0.7224
123,2.7386,-0.7483
124,0.7249,-1.1647
125,4.3736,1.0357
126,1.8726,0.4636
127,-2.5638,-0.8045
128,0.4827,-1.154
129,-2.3335,2.5031
130,-1.0957,-0.0752
131,1.6986,1.7662
132,1.4229,-1.5257
133,-1.6022,-1.7117
134,0.4369,1.0871
135,-0.8648,1.4993
136,1.1749,-1.4088
137,0.075,-2.2522
138,1.0,-0.0842
139,-0.1259,0.2635
140,1.0778,0.3735
141,1.1181,2.944
142,1.9128,2.1798
143,-1.7191,0.2342
144,1.7703,3.9891
145,0.3641,0.1418
146,-1.4343,1.0639
147,7.4126,-1.1189
148,-3.5281,-1.3272
149,0.2697,-3.1556
150,-1.0785,-1.4778
151,-0.6657,-0.7135
152,1.4224,2.1744
153,-2.2377,-0.9975
154,-11.2866,1.4424
155,1.1386,1.6446
156,0.3174,1.2282
157,0.0629,-0.7238
158,4.1396,3.497
159,0.8775,0.9585
160,0.2191,0.8267
161,0.0376,-1.0816
162,0.8285,-1.2852
163,2.2126,-1.9429
164,4.0056,0.6421
165,-1.2027,1.0629
166,0.6046,1.277
167,-1.0497,-0.704
168,2.2331,-1.9151
169,3.351,-1.6916
170,-0.7324,2.4516
171,0.2781,-0.6378
172,2.4311,1.5938
173,-0.0436,0.1577
174,6.6917,-0.6147
175,1.3942,-0.8702
176,6.0078,3.8582
177,-0.8596,1.5387
178,2.6699,1.0502
179,0.4468,-0.0142
180,-0.3842,-0.419
181,2.5455,-0.1894
182,0.815,0.1883
183,-1.7971,0.4208
184,1.654,1.308
185,0.6346,-0.4729
186,-2.9672,0.9179
187,0.6514,-0.563
188,-0.018,0.28
189,0.9756,-0.6865
190,-1.4534,-2.3689
191,-0.536,-1.4634
192,0.4993,-0.4826
193,3.7504,-0.0555
194,4.0399,-2.4554
195,0.695,-1.7925
196,-1.0853,-1.6792
197,0.5348,0.7776
198,2.3795,-1.0426
199,1.6984,0.8673
200,-1.2639,0.0838
201,-3.4173,0.8965
202,3.1665,-0.3233
203,-2.1621,1.682
204,0.6713,-0.248
205,-2.6295,1.1322
206,3.3105,1.1021
207,-1.7338,1.2278
208,1.2931,-0.1742
209,1.5378,1.1835
210,-0.4357,-0.1384
211,-0.4953,-1.4996
212,-2.754,-0.4546
213,-2.82,-1.7847
214,1.0558,-0.7917
215,3.4708,-1.4631
216,0.3717,-1.0224
217,2.2624,-0.7683
218,3.5288,0.684
219,1.3954,-0.0745
220,-1.8112,1.3872
221,0.0451,-0.4865
222,4.0345,-0.1522
223,1.8232,-1.7329
224,-7.2142,0.7332
225,0.7744,0.1423
226,-0.5919,-2.3965
227,2.646,1.0282
228,-0.1445,0.2449
229,1.9885,-0.2021
230,-4.1882,1.7628
231,-0.3662,-0.1999
232,2.1951,0.8683
233,-0.8052,0.3715
234,-0.2974,-1.4958
235,-2.0114,-0.7927
236,0.2971,-2.7128
237,2.3705,-1.6372
238,0.655,0.7131
239,4.3943,-3.8047
240,1.0971,0.9961
241,0.8507,0.4721
242,-0.6158,0.8055
243,-2.0728,0.2188
244,1.5963,-0.0042
245,-1.943,-2.1603
246,-1.775,-0.1633
247,2.1386,-1.1204
248,-0.3077,1.4446
249,-2.8159,-2.3767
250,2.9096,-0.5579
251,-1.0599,0.2647
252,3.2099,-1.2628
253,1.806,1.3803
254,-3.3305,-3.4629
255,2.2029,-2.1847
256,-1.0361,-0.6648
257,-1.3311,0.3799
258,0.596,1.3167
259,0.3911,0.259
260,-3.9049,1.1359
261,1.2832,1.0675
262,1.7033,0.3432
263,-1.9866,-0.3189
264,-2.3774,-0.0346
265,0.0902,2.6894
266,-1.3956,-1.0135
267,-1.6982,0.8414
268,-1.7598,-2.7656
269,2.9203,1.6804
270,2.3414,1.0075
271,2.2122,-2.6689
272,1.7416,-1.6365
273,1.8946,0.264
274,0.5313,-1.0133
275,-2.5682,-0.1472
276,-0.6083,0.967
277,0.8053,-0.7902
278,0.5229,0.6317
279,-1.8671,2.4292
280,1.0065,-0.0141
281,-0.4451,-0.5587
282,5.0724,0.3159
283,2.6574,-1.8836
284,-2.1315,0.4813
285,0.5439,-0.2301
286,0.9823,-0.5047
287,0.562,1.0935
288,-0.71,-0.0472
289,-1.4255,0.6981
290,-0.8577,-1.6478
291,2.6284,0.0288
292,-1.3764,0.6768
293,0.673,-0.8687
294,-0.7223,-0.9909
295,-1.1141,-3.2501
296,-1.9378,-2.3353
297,-2.6415,-0.0553
298,-3.8133,0.0022
299,2.5752,0.8677
300,-3.7336,-0.4785
301,1.326,-0.2443
302,2.0928,2.9384
303,1.5167,-0.2581
304,2.741,-1.7327
305,1.0007,-0.0671
306,-0.0927,-1.3565
307,-0.3923,-0.5643
308,4.7383,-0.5796
309,-0.4126,0.8235
310,-0.6232,1.4397
311,-2.2523,-0.4749
312,0.2994,-2.0802
313,4.0599,0.641
314,1.1689,-1.2193
315,-0.1767,-0.2233
316,0.8181,1.0163
317,1.8525,1.6657
318,-0.228,0.1036
319,-2.591,-2.1373
