Epoch,Generator Loss,Discriminator Loss
1,1.0383,-0.4152
2,-0.1576,0.1446
3,0.0256,0.1046
4,-0.2203,-0.2042
5,-0.1504,0.3482
6,0.0482,-0.0683
7,-0.1411,0.0341
8,-0.1563,-0.0827
9,-0.1876,-0.0059
10,-0.1532,-0.4167
11,-0.4263,0.0259
12,-0.5284,0.348
13,-0.7105,0.2762
14,-0.3812,-0.2827
15,-0.3939,0.1168
16,-0.5075,-0.1557
17,-0.8379,0.0449
18,-0.829,-0.1973
19,-0.9559,0.168
20,-1.1532,-0.206
21,-0.9221,0.1695
22,-1.1749,0.1328
23,-1.3809,0.103
24,-1.2025,0.0093
25,-1.7417,0.3998
26,-1.1729,0.3109
27,-1.4054,0.1725
28,-1.5502,0.295
29,-1.4063,0.4707
30,-1.7694,-0.2419
31,-1.7164,0.3548
32,-2.0279,-0.2136
33,-2.0469,0.0216
34,-1.9281,0.188
35,-1.9661,-0.1695
36,-1.6429,-0.0085
37,-2.2422,0.1609
38,-2.1317,0.0438
39,-2.2784,0.191
40,-2.6065,-0.2246
41,-2.473,-0.0651
42,-2.2244,-0.0877
43,-2.1357,-0.041
44,-2.4753,0.216
45,-2.4364,0.2733
46,-2.275,-0.2864
47,-2.1504,0.0983
48,-2.3229,-0.3542
49,-2.0401,-0.2115
50,-2.1458,-0.3036
51,-2.562,0.0666
52,-2.3065,0.0365
53,-2.4179,-0.1684
54,-2.3685,-0.2252
55,-2.3964,0.0745
56,-2.511,0.3645
57,-2.2946,-0.3106
58,-2.192,0.0731
59,-2.4116,-0.0488
60,-2.2894,-0.0225
61,-2.1236,-0.1269
62,-2.3405,-0.0307
63,-2.2062,0.3495
64,-2.5473,0.2822
65,-2.7385,-0.2288
66,-2.3849,0.2481
67,-2.4487,0.0423
68,-2.5693,-0.1212
69,-2.2523,0.1136
70,-2.5207,-0.2223
71,-2.7425,-0.3206
72,-2.4245,-0.0473
73,-2.632,0.3468
74,-2.328,0.2838
75,-2.5383,0.1727
76,-2.627,0.1116
77,-2.8398,0.0738
