Epoch,Generator Loss,Discriminator Loss
1,0.9301,-0.5028
2,0.1543,0.0017
3,-0.0364,0.029
4,-0.0906,0.1134
5,0.0798,-0.1594
6,0.0406,-0.1175
7,-0.0464,0.0521
8,-0.3792,0.2114
9,-0.0363,0.1363
10,-0.3056,-0.3155
11,-0.6523,0.0943
12,-0.4535,-0.2431
13,-0.8467,0.5021
14,-0.6928,0.1073
15,-0.8072,-0.0184
16,-0.7179,-0.2016
17,-0.6697,0.1905
18,-0.8225,0.0067
19,-0.5681,-0.1955
20,-1.1951,-0.0143
21,-0.8769,0.0851
22,-1.2866,-0.1835
23,-0.983,-0.2262
24,-1.2116,-0.1465
25,-1.0413,0.6072
26,-1.3522,-0.3104
27,-1.2854,0.0432
28,-1.3743,-0.0548
29,-1.6021,0.09
30,-1.3629,-0.0196
31,-1.3118,-0.3855
32,-1.4618,0.1057
33,-1.3519,0.0272
34,-1.6269,-0.0777
35,-1.786,-0.1632
36,-1.8661,-0.1836
37,-1.8627,-0.2257
38,-1.9852,-0.0469
39,-1.8075,0.123
40,-1.8708,-0.125
41,-1.8072,-0.1352
42,-2.1067,0.5615
43,-1.8074,-0.0268
44,-2.0889,0.0959
45,-1.9283,-0.3522
46,-1.8581,-0.1377
47,-2.389,-0.3095
48,-2.1238,-0.0797
49,-2.3898,-0.1965
50,-2.533,0.3986
51,-2.2559,-0.2012
52,-2.2846,0.0116
53,-2.3145,0.152
54,-2.5471,-0.1954
55,-2.497,-0.2839
56,-2.5055,0.2903
57,-2.7126,-0.2021
58,-2.4891,-0.2581
59,-2.3767,0.078
60,-2.7069,0.1807
61,-2.6962,-0.1234
62,-2.577,-0.0186
63,-2.6567,-0.0659
64,-2.3648,0.612
65,-2.5279,-0.4069
66,-2.7141,0.1023
67,-2.4544,-0.0025
68,-2.8653,0.5672
69,-2.5836,-0.3309
70,-2.5175,0.2793
71,-2.4095,-0.0816
72,-2.5405,-0.0206
73,-2.5565,-0.2692
74,-2.5765,0.2617
75,-2.4414,0.4272
76,-2.7017,-0.2066
77,-2.5293,-0.555
78,-3.0723,-0.4018
79,-2.9662,-0.2678
80,-2.6296,-0.2004
81,-2.9237,0.1613
82,-2.6772,0.3937
83,-2.5655,0.0741
84,-2.7221,-0.7968
85,-2.7257,-0.0732
86,-2.6327,-0.0439
87,-2.5866,-0.0934
88,-2.8226,-0.0721
89,-2.7016,0.193
90,-2.5135,0.1777
91,-2.4736,-0.0446
92,-2.4975,0.0802
93,-2.662,0.0164
94,-2.4572,0.1101
95,-2.6752,-0.2054
96,-2.6104,-0.6579
97,-3.0059,0.2379
98,-2.7963,0.1312
99,-2.496,-0.1301
100,-2.4923,0.0406
101,-2.4757,-0.2742
102,-2.4517,-0.0259
103,-2.3911,-0.4759
104,-2.2724,-0.253
105,-2.1536,-0.4283
106,-2.2697,-0.4067
107,-2.0878,-0.1496
108,-2.0758,0.6557
109,-2.261,-0.0114
110,-2.2817,0.6594
111,-2.4529,0.0418
112,-2.3207,-0.2232
113,-2.0069,-0.124
114,-1.9347,-0.0456
115,-1.8549,0.0708
116,-2.2362,-0.1804
117,-2.1915,-0.2154
118,-2.2091,-0.4062
119,-1.8002,-0.3099
120,-2.6254,-0.2225
121,-1.999,0.0127
122,-2.0461,-0.2995
123,-2.1938,-0.6298
124,-2.2128,-0.2435
125,-2.1875,-0.0919
126,-2.3918,0.0842
127,-2.3106,-0.4168
128,-1.8493,0.0272
129,-2.1281,0.0347
130,-2.1065,0.4166
131,-1.8663,-0.3073
132,-1.749,0.3208
133,-2.2454,-0.5181
134,-1.8426,0.0369
135,-1.8053,-0.1517
136,-1.8391,-0.0288
137,-1.9345,0.0819
138,-1.9219,-0.0775
139,-1.476,0.763
140,-1.7838,0.1594
141,-1.8146,-0.4343
142,-0.9849,-0.0134
143,-1.5538,-0.4957
144,-1.9479,0.0856
145,-1.6937,-0.0654
146,-2.1142,-0.306
147,-1.6261,-0.0781
