,Epoch,Generator Loss,Discriminator Loss
0,1,-0.5413,0.1037
1,2,-0.9956,-0.1048
2,3,-1.3831,0.0177
3,4,-1.7939,0.0163
4,5,-1.7483,0.036
5,6,-1.8238,0.0046
6,7,-1.8218,-0.1522
7,8,-1.6419,-0.0029
8,9,-1.7885,0.0048
9,10,-1.715,-0.0602
10,11,-1.8635,-0.2271
11,12,-1.8525,0.0002
12,13,-2.1619,-0.02
13,14,-2.1658,-0.1533
14,15,-2.2123,0.2727
15,16,-2.0857,0.0961
16,17,-2.2199,0.0846
17,18,-2.1207,-0.052
18,19,-2.3826,-0.2345
19,20,-2.6511,-0.0128
20,21,-2.4013,-0.0258
21,22,-2.433,-0.1427
22,23,-2.5842,-0.0231
23,24,-2.2944,-0.2579
24,25,-2.4536,-0.0942
25,26,-2.35,-0.2774
26,27,-2.344,-0.0487
27,28,-2.4369,-0.1534
28,29,-2.5299,-0.1153
29,30,-2.3057,0.0121
30,31,-2.4182,-0.2353
31,32,-2.7623,0.1558
32,33,-2.3,0.0041
33,34,-2.2163,-0.1417
34,35,-2.308,-0.0506
35,36,-2.2612,0.1707
36,37,-2.5168,-0.2638
37,38,-2.4298,-0.0968
38,39,-2.3221,0.1282
39,40,-2.518,0.1758
40,41,-2.4717,-0.0913
41,42,-2.3846,-0.0377
42,43,-2.811,0.0584
43,44,-2.5391,-0.0573
44,45,-2.6975,0.03
45,46,-2.5942,-0.2145
46,47,-2.2361,-0.0687
47,48,-2.7266,0.1576
48,49,-2.3423,-0.0688
49,50,-2.436,0.0076
50,51,-2.3529,0.0553
51,52,-2.6202,-0.0048
52,53,-2.3605,-0.0025
53,54,-2.472,0.094
54,55,-2.6035,-0.0208
55,56,-2.2756,0.0915
56,57,-2.5317,0.0115
57,58,-2.4569,-0.0842
58,59,-2.4574,-0.0798
59,60,-2.3333,0.1786
60,61,-2.3413,0.0339
61,62,-2.2619,0.0423
62,63,-2.3706,0.0679
63,64,-2.3444,0.0957
64,65,-2.3048,-0.1403
65,66,-2.4233,0.1302
66,67,-2.4726,0.0702
67,68,-2.4049,0.0924
68,69,-2.4598,0.0109
69,70,-2.3881,-0.035
70,71,-2.3926,0.076
71,72,-2.5914,0.1271
72,73,-2.6435,0.0188
73,74,-2.3432,-0.1244
74,75,-2.754,0.1918
75,76,-2.5106,0.0911
76,77,-2.7406,-0.1379
77,78,-2.476,-0.0022
78,79,-2.8108,-0.0436
79,80,-2.2941,-0.1189
80,81,-2.38,-0.089
81,82,-2.1516,0.0508
82,83,-2.6617,0.0179
83,84,-2.3009,0.1737
84,85,-2.7631,-0.2884
85,86,-2.0905,0.1339
86,87,-2.2955,-0.024
87,88,-2.3874,-0.0618
88,89,-2.0361,-0.0164
89,90,-2.2232,-0.1554
90,91,-2.1709,-0.1129
91,92,-2.1749,-0.0071
92,93,-2.3684,0.0439
93,94,-2.432,0.0423
94,95,-2.3604,-0.4101
95,96,-2.0482,0.3439
96,97,-2.249,-0.0322
97,98,-2.2288,0.0977
98,99,-2.1476,-0.1277
99,100,-2.1674,0.0493
100,101,-2.224,-0.1924
101,102,-1.9557,-0.0424
102,103,-2.0913,0.2836
103,104,-2.1439,-0.0598
104,105,-1.9948,-0.1669
105,106,-2.1992,-0.1019
106,107,-1.9855,-0.2087
107,108,-2.016,0.027
108,109,-1.8342,0.0469
109,110,-2.1249,-0.0072
110,111,-2.0492,-0.3019
111,112,-2.2068,-0.1612
112,113,-2.0451,0.1926
113,114,-1.9319,-0.0632
114,115,-1.8705,-0.1294
115,116,-1.8604,0.1469
116,117,-1.6671,-0.0481
117,118,-1.8324,0.1509
118,119,-2.2865,0.0171
119,120,-2.0838,-0.1579
120,121,-1.7114,-0.087
121,122,-2.2075,-0.0203
122,123,-1.8588,0.2107
123,124,-1.9023,-0.0027
124,125,-2.2844,-0.4175
125,126,-2.3736,-0.1895
126,127,-2.231,-0.0358
127,128,-1.9816,-0.2574
128,129,-1.5985,0.0555
129,130,-1.7386,-0.0104
130,131,-2.208,0.1394
131,132,-1.5697,-0.3195
