,Epoch,Generator Loss,Discriminator Loss
0,1,0.6366,-0.0002
1,2,0.5888,0.0153
2,3,0.6271,-0.0341
3,4,0.5372,-0.0802
4,5,0.4946,-0.0209
5,6,0.4746,-0.04
6,7,0.2715,-0.03
7,8,0.3433,-0.1574
8,9,0.1643,-0.3481
9,10,0.1416,-0.1463
10,11,0.0146,-0.2421
11,12,0.0963,-0.3249
12,13,-0.3315,0.0235
13,14,-0.3796,-0.1533
14,15,-0.7498,-0.1742
15,16,-0.4842,0.022
16,17,-0.883,0.0236
17,18,-0.8944,-0.0825
18,19,-0.7787,-0.0848
19,20,-0.8309,0.0194
20,21,-0.6957,-0.1183
21,22,-0.9157,-0.0895
22,23,-0.8241,-0.4236
23,24,-0.7326,0.164
24,25,-0.5848,-0.0747
25,26,-0.9648,0.0071
26,27,-0.8318,-0.0175
27,28,-0.8665,-0.26
28,29,-1.1686,0.0896
29,30,-1.1321,-0.0701
30,31,-0.8674,0.2865
31,32,-0.9313,0.398
32,33,-0.9429,0.3075
33,34,-0.9908,0.1299
34,35,-0.9002,-0.2468
35,36,-0.7144,-0.3297
36,37,-1.0346,0.1783
37,38,-1.214,0.2235
38,39,-1.2354,0.3024
39,40,-1.5793,0.2558
40,41,-1.1829,0.3502
41,42,-1.1929,0.3381
42,43,-1.2633,0.1361
43,44,-1.3836,-0.0908
44,45,-1.2101,0.172
45,46,-1.0778,-0.0811
46,47,-1.0533,0.0499
47,48,-1.2969,-0.1732
48,49,-1.5151,0.2459
49,50,-1.5141,-0.1156
50,51,-1.4167,0.2622
51,52,-1.5672,0.4572
52,53,-1.308,0.2413
53,54,-1.3714,-0.1367
54,55,-1.677,-0.1772
55,56,-1.4134,0.0942
56,57,-1.3034,0.091
57,58,-1.6357,0.0698
58,59,-1.5355,0.295
59,60,-2.0109,0.3259
60,61,-1.8036,0.308
61,62,-1.784,-0.0325
62,63,-1.6524,0.0813
63,64,-1.6911,-0.2781
64,65,-1.6226,-0.2557
65,66,-1.7788,-0.0747
66,67,-1.5845,-0.1132
67,68,-1.9201,-0.2652
68,69,-2.0452,0.1473
69,70,-1.8936,0.1357
70,71,-2.2955,0.3494
71,72,-1.8216,0.361
72,73,-1.6999,-0.1163
73,74,-1.7972,-0.3299
74,75,-1.751,-0.2456
75,76,-2.1858,0.2813
76,77,-2.0644,-0.1915
77,78,-2.0848,0.3304
78,79,-2.3486,0.158
79,80,-2.1773,0.1801
80,81,-1.8256,-0.1907
81,82,-2.0422,0.0109
82,83,-2.0714,-0.1219
83,84,-1.9453,-0.4754
84,85,-2.0203,-0.0607
85,86,-2.172,0.6346
86,87,-2.2659,-0.0071
87,88,-2.0456,0.234
88,89,-2.1214,0.0027
89,90,-2.0551,-0.1184
90,91,-1.9309,0.0193
91,92,-1.9943,0.1564
92,93,-2.0689,-0.0195
93,94,-2.0654,-0.0263
94,95,-2.0693,0.2051
95,96,-2.1987,-0.4328
96,97,-2.0842,0.2045
97,98,-2.4384,-0.1043
98,99,-2.3125,0.0071
99,100,-2.2219,-0.1965
100,101,-2.3451,0.1313
101,102,-2.2069,0.108
102,103,-2.3834,-0.1505
103,104,-2.3529,-0.163
104,105,-2.3784,0.0455
105,106,-2.3451,0.052
106,107,-2.0248,0.1659
107,108,-2.1642,-0.0699
108,109,-2.1544,0.5047
109,110,-2.172,-0.0212
110,111,-2.3032,0.0175
111,112,-2.445,0.5354
112,113,-2.2353,0.1489
113,114,-2.372,0.4577
114,115,-2.4015,0.0319
115,116,-2.2426,-0.2434
116,117,-2.2431,0.1261
117,118,-2.3461,-0.0355
118,119,-2.1792,0.037
119,120,-2.1842,0.2092
120,121,-2.1825,0.0247
121,122,-1.9956,0.1638
122,123,-2.1318,0.2569
123,124,-2.3704,0.0743
124,125,-2.3807,0.4384
125,126,-2.6138,0.0338
126,127,-2.1584,-0.1297
127,128,-2.0619,0.1184
128,129,-1.6771,0.1014
129,130,-1.785,-0.1623
130,131,-2.1701,-0.1473
131,132,-2.1434,-0.1087
132,133,-2.2458,0.1132
133,134,-2.2239,0.1874
134,135,-2.1344,0.1456
135,136,-1.9759,0.0649
136,137,-1.7684,0.1709
137,138,-1.8189,-0.2977
138,139,-2.0747,-0.2937
139,140,-1.8119,0.3328
140,141,-1.6046,0.1717
141,142,-1.7373,-0.2549
142,143,-2.2663,0.0259
143,144,-1.8336,-0.0155
144,145,-2.441,0.1619
145,146,-2.1132,0.0934
146,147,-2.2674,-0.1713
147,148,-2.179,0.0831
148,149,-2.1366,-0.4204
149,150,-2.0115,-0.0944
150,151,-1.9968,-0.2471
151,152,-2.3155,0.1971
152,153,-2.2326,-0.0817
153,154,-2.1454,0.0814
