,Epoch,Generator Loss,Discriminator Loss
0,1,0.7101,0.0611
1,2,0.66,-0.0809
2,3,0.6358,-0.0465
3,4,0.595,0.0484
4,5,0.463,-0.0599
5,6,0.4284,0.0742
6,7,0.3212,0.0417
7,8,0.2696,-0.0282
8,9,0.1461,-0.1786
9,10,0.001,-0.1783
10,11,0.006,-0.0778
11,12,-0.1398,-0.3214
12,13,-0.0316,-0.4864
13,14,-0.0049,-0.3591
14,15,-0.2044,-0.1511
15,16,-0.6177,-0.0316
16,17,-0.7296,0.2963
17,18,-1.0328,0.3158
18,19,-0.9305,0.0687
19,20,-0.845,-0.0428
20,21,-0.6785,0.0353
21,22,-0.5034,-0.0955
22,23,-0.2126,-0.1463
23,24,-0.4096,-0.1705
24,25,-0.614,-0.1637
25,26,-0.4888,-0.1412
26,27,-0.5473,-0.3421
27,28,-0.8607,0.1928
28,29,-0.6578,0.2222
29,30,-0.9074,0.0173
30,31,-0.7952,0.0543
31,32,-0.6267,-0.1127
32,33,-0.4229,-0.2917
33,34,-0.87,-0.0824
34,35,-0.6014,-0.3365
35,36,-0.6528,-0.0127
36,37,-0.8327,-0.3195
37,38,-0.9115,0.2322
38,39,-0.7845,0.4027
39,40,-1.1974,-0.0821
40,41,-1.6438,0.1184
41,42,-1.6296,-0.2951
42,43,-1.4334,-0.3538
43,44,-1.3481,0.0813
44,45,-1.2457,0.3077
45,46,-1.4098,0.4543
46,47,-1.4307,0.0831
47,48,-1.5033,0.1426
48,49,-1.5443,0.3784
49,50,-1.6981,0.0492
50,51,-1.7542,-0.1193
51,52,-1.7413,-0.0707
52,53,-1.7601,-0.089
53,54,-1.4242,-0.5939
54,55,-1.2511,-0.1921
55,56,-1.5921,-0.246
56,57,-1.8963,0.0929
57,58,-1.6407,-0.0434
58,59,-2.2072,0.0315
59,60,-1.8184,0.0938
60,61,-1.9265,0.5053
61,62,-1.5329,0.1441
62,63,-1.7882,-0.0337
63,64,-1.5594,0.016
64,65,-1.4896,-0.4255
65,66,-1.3079,-0.0745
66,67,-1.5256,0.1201
67,68,-1.6742,0.3224
68,69,-1.9475,0.1038
69,70,-1.7752,0.2237
70,71,-1.7242,0.1907
71,72,-1.4126,-0.223
72,73,-1.5503,0.1182
73,74,-1.1923,-0.0576
74,75,-1.5937,0.1505
75,76,-1.7765,0.2632
76,77,-1.7897,0.2347
77,78,-1.7656,0.2088
78,79,-1.6473,0.1277
79,80,-1.7426,0.2773
80,81,-1.5343,-0.2024
81,82,-1.7257,-0.3274
82,83,-1.7712,-0.0903
83,84,-2.0047,0.2358
84,85,-2.3033,0.1946
85,86,-2.204,0.1664
86,87,-2.0704,-0.1963
87,88,-2.2864,0.152
88,89,-2.0111,-0.3163
89,90,-1.6445,-0.2073
90,91,-1.855,-0.1477
91,92,-1.9263,0.0069
92,93,-1.8865,-0.1873
93,94,-2.043,0.2406
94,95,-1.9978,0.0121
95,96,-2.043,0.2349
96,97,-2.1452,-0.2307
97,98,-2.064,0.0501
98,99,-2.0251,-0.2867
99,100,-2.1672,-0.229
100,101,-2.139,0.0563
101,102,-1.805,0.0251
102,103,-2.046,0.366
103,104,-1.9099,0.15
104,105,-2.04,0.4132
105,106,-1.9223,0.1279
106,107,-2.0542,-0.1727
107,108,-1.837,-0.4189
108,109,-2.1798,-0.4232
109,110,-1.892,-0.0055
110,111,-1.6315,-0.0205
111,112,-1.5231,-0.0992
112,113,-1.5804,-0.4277
113,114,-1.6173,-0.0284
114,115,-1.7161,-0.3506
