Epoch,Generator Loss,Discriminator Loss
1,0.0282,-0.5337
2,-0.3293,0.5654
3,0.2197,0.0162
4,-0.1183,0.1607
5,-0.161,0.0097
6,-0.5302,-0.3267
7,-0.4015,0.0132
8,-0.3209,0.3585
9,-0.1682,0.072
10,-0.3608,0.2775
11,-0.8617,0.3778
12,-0.7396,-0.0387
13,-0.7809,-0.6537
14,-0.8644,0.1427
15,-0.8134,-0.0785
16,-1.0583,0.4359
17,-1.1664,-0.366
18,-1.4726,-0.2632
19,-1.0219,0.3035
20,-1.0174,-0.4979
21,-1.6153,-0.4526
22,-1.5233,0.0031
23,-1.508,-0.2856
24,-1.4494,-0.0694
25,-1.9668,0.084
26,-1.4103,-0.1606
27,-1.0972,-0.3853
28,-0.9939,-0.5961
29,-1.9178,0.1836
30,-2.1826,0.3516
31,-1.9491,-0.3553
32,-2.01,0.1305
33,-1.5913,0.2545
34,-1.5248,-0.2691
35,-1.8538,0.0909
36,-2.3351,0.2105
37,-1.7865,0.5637
38,-1.7879,0.1634
39,-1.8992,-0.7033
40,-1.88,0.3523
41,-2.3336,-0.6693
42,-1.9633,0.213
43,-2.4568,1.0804
44,-2.3318,-0.3668
45,-1.5459,0.1854
46,-1.8118,0.3145
47,-1.9425,-0.0641
48,-2.5469,-1.0903
49,-1.7494,-0.3522
50,-1.5648,0.0798
51,-2.1545,-0.0663
52,-2.7862,0.3185
53,-2.2761,0.4041
54,-2.1122,0.02
55,-2.0328,0.0033
56,-2.4876,0.375
57,-2.2063,-0.8688
58,-2.0327,-0.0599
59,-2.5986,0.0117
60,-2.346,-0.1813
61,-1.7322,-0.0634
62,-2.4003,-0.966
63,-3.2032,-0.2838
64,-2.8091,-0.2064
65,-3.0838,-0.2699
66,-2.5438,-0.3361
67,-1.8724,0.0297
68,-2.0523,-0.1472
69,-2.1245,-0.2806
70,-2.2207,0.1695
71,-2.3547,-0.324
72,-1.6955,-0.5336
73,-2.3726,0.7641
74,-2.398,0.1286
75,-2.4348,0.3798
76,-2.5624,0.9811
77,-1.7031,-0.6474
78,-1.9933,-0.7092
79,-2.5601,-0.2624
80,-2.5228,-0.9235
81,-2.4744,-0.0728
82,-2.1402,-0.2425
83,-1.9601,-0.0626
84,-1.3225,0.4468
85,-2.2325,-0.1886
86,-2.2549,0.3884
87,-1.9431,0.7327
88,-1.8747,0.671
89,-2.685,0.6881
90,-2.6395,-0.1507
91,-1.2837,-0.9441
92,-1.7036,-0.0183
93,-2.3445,-0.2202
94,-1.1536,-0.2456
95,-1.8809,-0.01
96,-2.1029,-0.9085
97,-1.9246,-0.111
98,-1.7185,-0.4492
99,-2.8066,0.2674
100,-1.8412,-0.3098
101,-2.4699,-0.0626
102,-1.8394,-0.093
103,-2.1959,0.5407
104,-3.1331,-0.3554
105,-1.9224,0.7096
106,-1.7508,-0.9686
107,-2.2243,0.079
108,-1.7996,-0.906
109,-2.4778,-0.0637
110,-1.7269,-0.8265
111,-1.6722,0.2148
112,-1.1047,-0.0564
113,-1.4022,1.4867
114,-1.9686,0.722
115,-1.3919,-1.0272
116,-1.4135,-1.0981
117,-1.8195,-0.7155
118,-1.6366,0.2694
119,-1.9186,-0.3103
120,-1.6961,0.3962
121,-1.7647,-0.3266
122,-1.1411,-0.0359
123,-1.5366,0.2552
124,-1.0153,-0.4582
125,-1.9367,0.1153
126,-1.3184,-0.5042
127,-1.8362,-0.6396
128,-1.3285,-1.1539
129,-1.6154,-0.075
130,-1.6627,0.2745
131,-1.8948,-0.735
132,-1.254,-0.7129
133,-1.4966,-1.0017
134,-1.8127,0.1534
135,-0.7038,0.6182
136,-0.3701,-0.6101
137,-1.3128,-0.2967
138,-2.2733,0.4151
139,-1.86,-1.0335
140,-1.3719,-0.3897
141,-1.9667,0.5277
142,-0.6389,-1.0561
143,-2.316,-0.4966
144,-1.2207,-0.3628
145,0.638,-1.1002
146,-0.4664,-0.8275
147,-1.0035,0.9606
148,-1.0161,-0.1794
149,-1.913,0.3961
150,-1.515,0.0893
151,-1.6,-1.8748
152,-2.0012,-0.4618
153,-0.3727,-1.0709
154,0.3176,0.3332
155,-0.5017,0.3884
156,-1.0875,0.5413
157,-2.4806,0.2333
158,-2.0156,-0.2919
159,-1.999,0.5578
160,-0.7576,0.7069
161,-1.4409,0.4468
162,-1.0465,-1.1112
163,-1.5143,1.3702
164,-1.289,1.8916
165,-0.007,-0.4075
166,-0.8865,-0.4585
167,-1.1213,1.1312
168,-0.1194,-0.9998
169,-1.5466,-0.3058
170,-0.9919,-0.0854
171,-0.7816,-0.9226
172,-0.3587,-0.6612
173,-0.5103,-0.5331
174,-1.4957,0.1298
175,-1.7216,-1.0735
176,-0.5285,1.9086
177,-0.1768,0.1766
178,-2.0528,0.1886
179,-0.0073,-1.3491
180,0.2492,1.5495
181,0.2981,-0.7263
182,0.6029,-1.9458
183,-0.3513,1.0245
184,-2.1021,0.4581
185,0.4376,-1.6598
186,-0.7855,-0.0706
187,-0.6721,1.5547
188,0.897,-0.0025
189,-0.3557,0.0188
190,-0.3608,1.4191
191,-0.5804,-0.1876
192,-0.9858,1.8341
193,-1.0716,-0.7291
194,0.3547,1.5455
195,-0.1161,0.9537
196,-1.4841,2.0816
197,-1.2369,-0.5752
198,-1.2664,-1.0316
199,-0.5029,1.8173
200,0.0502,-0.2565
201,-0.3412,-1.2418
202,-0.9526,1.11
203,-2.4489,2.5056
204,-2.6014,-1.0318
205,-1.0859,-1.6823
206,-0.9634,0.1328
207,-0.5329,-0.1515
208,-0.3182,-1.4392
209,-1.2938,-0.6295
210,-0.8538,-1.1722
211,-0.24,-0.8108
212,-1.2452,0.5371
213,-1.0078,1.6891
214,-0.0152,1.7167
215,-0.4819,-2.3772
216,-1.7763,-0.9159
217,0.9545,-0.81
218,-1.0856,0.2412
219,0.1693,0.3732
220,-0.6762,2.5487
221,-3.067,0.9407
222,-0.8322,0.8095
223,-2.0823,1.5255
224,-1.5815,1.6147
225,0.1329,0.5817
226,-2.7728,1.0663
227,-1.2036,1.1728
228,0.524,1.0919
229,-0.897,-0.1504
230,-0.9771,0.7831
231,-0.8196,0.0486
232,-1.3069,2.0378
233,-1.7824,0.7723
234,0.7298,0.1124
235,-0.3799,0.1836
236,-0.7555,3.1719
237,-0.2134,-0.6796
238,0.2039,-0.3427
239,-1.452,-1.3533
240,-0.085,0.5339
241,-0.5327,-2.5586
242,-1.2858,-1.3691
243,0.7441,-2.7326
244,0.4873,1.3297
245,-0.1999,-0.2487
246,0.1054,0.8976
247,-0.6152,1.3698
248,-1.1653,-1.6555
249,0.1622,0.3708
250,1.2041,0.2056
251,-0.618,-1.0148
252,-1.4063,-0.3532
253,-0.9188,-2.3218
254,-0.3699,0.7552
255,-0.004,-0.4554
256,-0.3907,0.9574
257,1.2106,0.3999
258,-1.3082,-1.7383
259,-1.3349,-0.0247
260,-0.2458,-1.4369
261,0.4201,-0.0023
